Date,Open,High,Low,Close,Volume,Market Cap
1496206800,231.57800293,236.964996338,215.567993164,230.66900634,1271600000,21244817138.8
1496293200,230.886001587,236.220993042,214.479995728,222.2389984,812924032,20474652879.1
1496379600,222.285995483,229.410995483,219.583999634,223.7749938,469532000,20622162298.6
1496466000,223.464004517,225.973007202,219.41900634,224.376007,427896000,20683715605
1496552400,224.117004395,250.410003662,223.981002808,245.3320007,753820032,22622207553.3
1496638800,245.261993408,249.468994141,243.048995972,248.4640045,435660000,22917910489
1496725200,248.598999023,267.514007568,246.839004517,264.4660034,741553024,24401181120.6
1496811600,264.26000976,264.67401123,254.039993286,258.071014404,461648992,23818300201.8
1496898000,257.99099731,262.25201416,253.975006104,261.665985107,385494016,24157329920.9
1496984400,261.74899292,282.76098632,261.74899292,281.7369995,557985984,26018098658.2
1497070800,282.014007568,350.260986328,282.014007568,337.66799926,1611629952,31192780483
1497157200,338.794006348,353.01098632,318.17098999,340.60900878,1373219968,31473965820.8
1497243600,341.164001465,414.756011963,341.164001465,401.48999023,2882650112,37110948644.2
1497330000,395.686004639,411.178009033,370.057006836,397.5369873,1717379968,36756801122.8
1497416400,397.588989258,399.324005127,342.214996338,359.05300903,1272579968,33208658541.8
1497502800,358.506988525,364.438995361,300.700012207,361.93301391,2463450112,33485258151.5
1497589200,361.182006836,373.054992676,341.416992188,370.22698974,1096280064,34263095461.8
1497675600,369.882995605,379.41400146,364.00201416,379.4140014,904652992,35124053707
1497762000,379.519012451,390.580993652,368.843994141,371.4580078,904702976,34398150200.6
1497848400,371.864013672,377.114990234,369.763000488,370.0559997,685171968,34278915230
1497934800,370.32699585,377.968994141,350.941986084,359.00500488,1020390016,33260958885.1
1498021200,359.540008545,361.342987061,319.479003906,336.87200927,1420130048,31222823000.4
1498107600,337.733001709,342.027008057,330.622009277,336.3710021,925766976,31185326164.1
1498194000,336.484985352,348.006011963,334.989990234,341.7390136,593206976,31691908923.7
1498280400,341.625,343.621002197,322.087005615,323.696014404,673585024,30027238695.6
1498366800,323.466003418,332.791992188,284.64599609,303.24798584,1186880000,28138409363.6
1498453200,302.954986572,311.458007812,238.649002075,272.69198608,2081810048,25309759967.6
1498539600,272.691986084,293.088012695,227.136993408,293.08801269,1973869952,27211279055.1
1498626000,293.041992188,333.104003906,276.414001465,327.92700195,2056550016,30454577323.1
1498712400,328.365997314,330.70800781,297.37298584,302.8829956,1508579968,28136918558.1
1498798800,303.15200805,315.17199707,288.442993164,294.9159851,1011800000,27404731860.5
1498885200,293.35299682,293.74798584,268.617004395,274.60101318,1089200000,25524313602.7
1498971600,275.12298584,295.50900268,262.519989014,287.98699951,1123330048,26776243984.3
1499058000,288.414001465,291.104003906,281.175994873,282.8980102,851408000,26310761677.2
1499144400,282.191009521,287.388000488,273.110992432,273.303009,687691008,25425860777
1499230800,273.098,275.125,261.446990967,268.7739868,790256000,25011710284.7
1499317200,268.858001709,278.476013184,265.5119934,270.5490112,623080000,25179348910.6
1499403600,270.350006104,273.942993164,244.173995972,245.9909973,687251968,22900134646.4
1499490000,245.88999939,273.476989746,236.550994873,251.69700622,754958016,23443013085.5
1499576400,251.822006226,255.104995728,242.136993408,242.136993408,505118016,22559120946.3
1499662800,243.011001587,243.070999146,196.964996338,215.3569946,937219008,20069373698.1
1499749200,211.524993896,220.291000366,183.391998291,197.40400695,1440950016,18401040700.6
1499835600,197.151992798,230.774002075,189.589004517,230.77400207,1241190016,21517152173.6
1499922000,231.81199646,231.81199646,200.065002441,209.733001709,828489024,19560300930.2
1500008400,209.529006958,211.10099792,187.37399292,199.6620025,749382016,18625794688.3
1500094800,199.708999634,200.160995483,170.654998779,170.6549987,810451968,15923953592.6
1500181200,169.574005127,172.014007568,133.723007202,157.36300659,1516889984,14687441604.6
1500267600,159.990997314,194.753005981,158.044006348,193.42399597,1669500032,18057735704.2
1500354000,195.026992798,267.985992432,182.05900573,234.39100647,2709260032,21887962775.7
1500440400,234.940994263,245.651000977,191.74499511,199.70300293,2328790016,18653610728.8
1500526800,205.42199707,233.904006958,203.21600341,227.26499939,2224999936,21233651866.3
1500613200,226.061004639,235.117996216,213.009994507,218.30499267,1006129984,20401709506.4
1500699600,217.86000061,232.695999146,216.867996216,229.4759979,618259968,21451273566.4
1500786000,229.123001099,231.679992676,217.722000122,225.951004,649614976,21127295408.6
1500872400,226.285003662,227.53799438,222.45300293,224.7109985,431691008,21016755176.6
1500958800,224.373001099,225.324005127,195.845001221,206.71000671,1095760000,19338262506.3
1501045200,207.085998535,210.766998291,194.78399658,203.9530029,717692032,19085332800
1501131600,204.856002808,206.444000244,201.259994507,204.3179931,393283008,19124468250.3
1501218000,204.324996948,204.897003174,192.304000854,193.123001,562571008,18081289102.8
1501304400,193.341003418,208.679000854,179.647003174,205.7890014,824355008,19272280500.2
1501390800,206.735992432,208.541000366,196.149002075,197.9779968,596233984,18545669553.6
1501477200,197.404998779,203.871002197,193.410995483,203.8710021,569414016,19102596754.5
1501563600,204.68800354,227.74400329,204.68800354,226.76899719,1585330048,21252988046.8
1501650000,227.005996704,229.511993408,218.11799621,219.9519958,632606016,20618746851.8
1501736400,220.179992676,228.292007446,219.888000488,225.3419952,557217024,21128736917.8
1501822800,225.307998657,227.621002197,222.057006836,223.072998,539782976,20920682038
1501909200,222.852005005,256.50698852,221.95199585,256.50698852,1332999936,24061766193.9
1501995600,256.41900634,271.04901123,252.852005005,261.56698608,1482979968,24541904158.6
1502082000,261.236999512,271.963012695,256.688995361,269.1799926,935726976,25262099071.4
1502168400,269.100006104,298.90701293,266.79598999,296.76901245,1502409984,27857712298.9
1502254800,297.631988525,318.716003418,276.690002441,296.02700805,2638579968,27794475648.4
1502341200,296.960998535,306.592987061,289.925994873,295.89199829,1076819968,27788165831.7
1502427600,294.494995117,309.209014893,294.494995117,308.8640136,953576000,29013166488.9
1502514000,308.709991455,317.559997559,307.895996094,310.60101318,1111650048,29183139234.1
1502600400,310.365997314,310.816009521,289.313995361,298.06399536,1369369984,28011760530.6
1502686800,298.031005859,306.807006836,296.411987305,300.0969848,864390976,28209451116.8
1502773200,299.95199585,300.40899658,279.32699585,289.81799316,1051800000,27249639651.1
1502859600,289.819000244,303.412994385,285.385009766,302.266998,967643008,28426961862.9
1502946000,302.804992676,311.02,300.25,301.4570007,909494016,28357573570
1503032400,301.696990967,307.95999145,292.49899292,295.5899963,936160000,27812276026.1
1503118800,296.180999756,301.666992188,286.183013916,297.4700012,860201984,27995885730.5
1503205200,296.644012451,301.428009033,291.579986572,301.428009,571947008,28375046490.7
1503291600,300.47601318,347.04901123,297.234008789,321.59100341,2448969984,30280406340.3
1503378000,321.054992676,327.360992432,297.912994385,314.78500366,1336400000,29646659313.6
1503464400,315.265991211,324.209991455,314.539001465,317.5190124,811990016,29911326161.9
1503550800,317.447998047,327.959991455,317.080993652,325.6109924,697665024,30680964299.9
1503637200,326.109008789,336.39801025,325.79598999,331.9150085,760329024,31281210162.4
1503723600,331.989990234,334.984985352,327.919006348,333.8819885,514180992,31472781161.6
1503810000,334.356994629,347.893005371,334.356994629,347.8930053,633369984,32799991738.8
1503896400,350.042999268,352.053985596,338.407012939,347.7470092,854318976,32792635350.2
1503982800,347.964996338,373.763000488,347.790008545,370.66699218,1220029952,34961063278.1
1504069200,369.47299194,388.74798584,361.971008301,378.48498535,1333319936,35705639884.6
1504155600,378.441009521,386.139007568,376.354003906,383.0419921,706254016,36142706813.6
1504242000,383.467010498,390.044006348,383.467010498,387.7409973,874222016,36593410761
1504328400,387.824005127,389.352996826,328.095001221,348.98400878,1483600000,32942250737.6
1504414800,350.229003906,366.486999512,332.231994629,347.4840087,986265984,32807142041.2
1504501200,347.132995605,347.132995605,279.93899536,295.17098999,1801689984,27873682151.2
1504587600,297.566986084,318.571990967,268.285003662,312.98800659,1551049984,29562162666.3
1504674000,313.802001953,334.657989502,313.489990234,334.33801269,1058830016,31584914370.2
1504760400,333.519012451,333.519012451,319.938995361,329.428009,718624000,31127463389.8
1504846800,329.635986328,329.635986328,285.157012939,296.49700927,1098780032,28021550341.3
1504933200,296.169006348,299.890991211,287.220001221,294.4049987,528620992,27829435117.5
1505019600,294.063995361,294.764007568,268.972991943,288.7470092,698326016,27300089799.4
1505106000,289.744995117,300.687988281,286.684997559,294.5320129,571307008,27852586150
1505192400,294.630004883,311.195007324,287.227996826,291.4639892,753144000,27568017612.9
1505278800,291.122009277,291.122009277,260.609985352,277.1119995,921692032,26215830135.1
1505365200,276.587005615,280.839996338,213.908004761,213.90800476,1184589952,20240633669.4
1505451600,215.220993042,258.654998779,195.035003662,250.46400451,1935699968,23704566169.9
1505538000,250.865997314,262.592987061,238.223007202,246.5220031,711737024,23336257867.7
1505624400,245.848999023,256.996002197,235.24000549,251.7489929,427452000,23835888182.5
1505710800,252.227005005,293.497009277,252.227005005,293.49700927,1127750016,27794233413.2
1505797200,293.656005859,295.768005371,274.484008789,282.8039855,646908992,26787085257.8
1505883600,282.015014648,290.88598632,278.04901123,283.7420043,421404000,26881372918.4
1505970000,283.263000488,286.60998535,255.01600647,258.5799865,601265984,24502550354.3
1506056400,258.114013672,270.540008545,256.217987061,264.3099975,430080992,25049676631.9
1506142800,264.598999023,286.167999268,261.119995117,286.1679992,450934016,27125537826.4
1506229200,286.213989258,292.947998047,278.13198852,282.483001709,571411008,26780610986.1
1506315600,282.217987061,293.51501464,281.87600708,292.3320007,483160992,27718684464.8
1506402000,292.34,293.75,287.019989014,287.4379882,345800992,27259015800.1
1506488400,287.019989014,308.015014648,286.820007324,306.4670104,550243968,29068342955.7
1506574800,306.471008301,307.197998047,295.470001221,299.1549987,501894016,28379292200.9
1506661200,299.11999511,299.92401123,279.773010254,291.4670104,541374976,27654290279.9
1506747600,291.476989746,303.963989258,291.111999512,301.4649963,332439008,28607406297.7
1506834000,301.54699707,303.192993164,295.061004639,302.3370056,306184992,28694730559.4
1506920400,302.481994629,302.920013428,294.582000732,297.475006104,339443008,28237763673.8
1507006800,297.483001709,300.110992432,288.132995605,292.4630126,321680000,27766443809.3
1507093200,292.753997803,299.394012451,290.894989014,292.657989502,257906000,27789444566.8
1507179600,292.773010254,298.040985107,288.839996338,295.8630065,253747008,28098336332.5
1507266000,295.154998779,308.839996338,294.947998047,308.5880126,318664000,29311483315.4
1507352400,308.891998291,313.130004883,304.9750061,311.1239929,342204992,29557048402.5
1507438800,311.058990479,312.541992188,308.028015137,308.608001709,293167008,29322710612.1
1507525200,308.666992188,309.312988281,288.184997559,297.3919982,559467008,28261533648.4
1507611600,297.601013184,306.15399169,293.17300415,299.8699951,359705984,28501667385.4
1507698000,301.180999756,304.390014648,299.096008301,303.4559936,264146000,28847211567.6
1507784400,303.49798584,309.151000977,303.290008545,304.1359863,527556992,28916525239.7
