Price,CDP-1,CDP-2,CDP-3
100,100.0,100.00000000000003,100.00000000000003
101,101.33333333333334,101.6666666666667,101.61111111111113
102,102.66666666666669,103.33333333333337,103.22222222222223
103,104.0,105.00000000000003,104.83333333333336
104,105.33333333333336,106.6666666666667,106.44444444444449
105,106.66666666666669,108.33333333333337,108.05555555555557
106,108.00000000000003,110.00000000000003,109.66666666666667
107,109.33333333333334,111.66666666666669,111.27777777777781
108,110.66666666666669,113.33333333333336,112.88888888888893
109,112.0,115.00000000000001,114.50000000000003
110,113.33333333333336,116.66666666666671,116.11111111111114
111,114.6666666666667,118.33333333333337,117.72222222222224
112,116.00000000000001,120.00000000000003,119.33333333333336
113,117.33333333333336,121.66666666666671,120.94444444444449
114,118.66666666666667,123.33333333333334,122.5555555555556
115,120.00000000000003,125.00000000000004,124.16666666666671
116,121.33333333333336,126.6666666666667,125.77777777777781
117,122.66666666666669,128.33333333333337,127.38888888888893
118,124.00000000000001,130.00000000000003,129.00000000000003
119,125.33333333333336,131.6666666666667,130.61111111111111
120,126.6666666666667,133.33333333333337,132.22222222222226
121,128.0,135.00000000000003,133.83333333333337
122,129.33333333333334,136.66666666666669,135.44444444444449
123,130.66666666666666,138.33333333333337,137.0555555555556
124,132.00000000000003,140.00000000000003,138.6666666666667
125,133.33333333333337,141.6666666666667,140.2777777777778
126,134.66666666666669,143.33333333333334,141.8888888888889
127,136.0,145.00000000000003,143.50000000000003
128,137.33333333333334,146.66666666666669,145.11111111111114
129,138.66666666666669,148.33333333333334,146.72222222222223
130,140.00000000000003,150.00000000000006,148.33333333333334
131,141.33333333333334,151.66666666666669,149.94444444444449
132,142.66666666666669,153.33333333333334,151.55555555555557
133,144.00000000000003,155.00000000000006,153.16666666666669
134,145.33333333333334,156.6666666666667,154.7777777777778
135,146.66666666666669,158.33333333333337,156.3888888888889
136,148.00000000000003,160.00000000000003,158.00000000000006
137,149.33333333333337,161.66666666666669,159.61111111111114
138,150.66666666666669,163.33333333333337,161.22222222222226
139,152.0,165.00000000000003,162.83333333333337
140,153.33333333333334,166.66666666666669,164.44444444444449
141,154.6666666666667,168.33333333333337,166.0555555555556
142,156.0,170.00000000000003,167.6666666666667
143,157.33333333333334,171.6666666666667,169.2777777777778
144,158.66666666666669,173.33333333333337,170.8888888888889
145,160.00000000000003,175.00000000000003,172.50000000000003
146,161.33333333333334,176.6666666666667,174.11111111111117
147,162.66666666666669,178.3333333333334,175.72222222222226
148,164.00000000000003,180.00000000000003,177.33333333333337
149,165.33333333333334,181.66666666666669,178.94444444444449
150,166.66666666666669,183.33333333333337,180.5555555555556
151,168.00000000000003,185.00000000000003,182.1666666666667
152,169.33333333333334,186.6666666666667,183.7777777777778
153,170.66666666666669,188.33333333333337,185.3888888888889
154,172.00000000000003,190.00000000000006,187.00000000000003
155,173.33333333333334,191.6666666666667,188.61111111111117
156,174.66666666666666,193.33333333333337,190.22222222222226
157,176.00000000000003,195.00000000000006,191.83333333333337
